epoch,loss,mae,val_loss,val_mae,val_mape
1,15.805148816666216,15.805148813386731,4.793819041567554,4.793819041567554,13.396753863601832
2,3.6459445117100397,3.645944511382091,2.657449017238988,2.657449017238988,7.864508734370948
3,2.682598557072132,2.682598554776492,2.119475116061793,2.119475116061793,6.234848064439306
4,2.3114114673462334,2.3114114666903363,1.8922600393629259,1.8922600393629259,5.428933402965505
5,2.146015411557981,2.146015411230032,1.6316858506852088,1.6316858506852088,4.648694784492834
6,2.055467708238709,2.0554677065989666,1.5601346947339723,1.5601346947339723,4.247679234507714
7,2.0149239068838063,2.014923906391884,1.6134423875623176,1.6134423875623176,4.514538969279263
8,1.9815544396679863,1.981554439340038,1.3638782983624054,1.3638782983624054,3.8192527245454753
9,1.9625045971168613,1.9625045967889128,1.494475706078199,1.494475706078199,4.154100611168123
10,1.9563454712601442,1.9563454702762986,2.228414513257691,2.228414513257691,5.980456425493098
11,1.7350856470766554,1.7350856460928097,1.2600866607191035,1.2600866607191035,3.460763587620008
12,1.782307831096518,1.7823078301126725,1.2409562507955945,1.2409562507955945,3.420837777250008
13,1.6737067850288696,1.673706784045024,1.3233843925861997,1.3233843925861997,3.6656068021917156
14,1.7563560163138494,1.7563560163138494,1.2407339630423817,1.2407339630423817,3.4029464052576963
15,1.7412123711269856,1.7412123706350628,1.481093321328961,1.481093321328961,4.242095907838428
16,1.665714079280995,1.6657140782971493,1.2601043723436645,1.2601043723436645,3.4247683875755577
17,1.7647827243870522,1.7647827232392324,1.2688889410709128,1.2688889410709128,3.5168043138452076
18,1.7110358999716695,1.711035899643721,1.287556288307279,1.287556288307279,3.5161711043652857
19,1.626812955864194,1.626812955864194,1.2677298556969787,1.2677298556969787,3.486091373959404
20,1.639051752536464,1.6390517515526186,1.2818862603332282,1.2818862603332282,3.591387917501453
21,1.658547223680121,1.658547223024224,1.1892518997192383,1.1892518997192383,3.262074188789505
22,1.5818556002770363,1.5818555994571648,1.36350490703657,1.36350490703657,3.7573333655697825
23,1.56354706848176,1.5635470668420175,1.2115931232615667,1.2115931232615667,3.328736839591297
24,1.6363016852322438,1.6363016847403211,1.1684144387449271,1.1684144387449271,3.1941357956554177
25,1.7730102606291949,1.7730102598093236,1.1717993777085836,1.1717993777085836,3.202863768148979
26,1.6504963674112396,1.6504963667553425,1.1971216053350426,1.1971216053350426,3.2764079578307816
27,1.5900174233411661,1.5900174223573205,1.1691354202389252,1.1691354202389252,3.204159973486388
28,1.575892651917354,1.5758926517533798,1.16851467845041,1.16851467845041,3.1972597211831273
29,1.5169057296755553,1.516905728855684,1.192519711149342,1.192519711149342,3.253594920734951
30,1.5488448159402797,1.5488448156123311,1.1764292178914704,1.1764292178914704,3.2238641645078063
